puj,puj_orig,poj,poj_orig,han,han_orig,en,en_orig,zh_TW,zh_CN,source
bói-phùe,,,,買配,,,,買菜,,teochew
bõi-mó,,,,袂孬,,,,不錯,,teochew
bõi-mó,,,,𠀾孬,,,,不錯,,teochew
cheh-tsūe,,,,責罪,,,,責備,,teochew
chhia-tsou,,,,車租,,,,車費,,teochew
i--nâng,,,,伊儂,,,,他們,,teochew
i--nâng,,,,伊儂,,,,她們,,teochew
ka-kī-nâng,,,,家己儂,,,,自己人,,teochew
khuah-ta̍k,,,,闊達,,,,(心胸)寬廣,,teochew
khâm-khia̍t,,,,嵁硈,,,,坎坷,,teochew
mih-kâi,,,,乜个,,,,什麼,,teochew
mih-nâng,,,,乜儂,,,,誰,,teochew
oi̍h-soih,,,,狹細,,,,(心胸)狹隘,,teochew
tih-kiáⁿ,,,,滴囝,,,,一點,,teochew
tián,,,,展,,,,炫耀,,teochew
tsa̍p-chi̍p,,,,雜疾,,,,不舒坦,,teochew
tshah-tshãn,,,,插羼,,,,爭前,,teochew
ãm-muaⁿ,,,,頷幔,,,,圍巾,,teochew
